"","Rk","Team","Date","Att...4","Day","G#","Week","...8","Opp","Result","Cmp","Att...12","Cmp%","Yds...14","TD","Sk","Yds...17","Int","Rate"
"107",107,"NWE",2022-10-02,35,"Sun",4,4,"@","GNB","L 24-27 (OT)",21,35,60,244,2,1,7,1,88.3
"108",108,"KAN",2022-10-02,52,"Sun",4,4,"@","TAM","W 41-31",39,52,75,373,3,1,12,0,113.7
"109",109,"JAX",2022-10-02,25,"Sun",4,4,"@","PHI","L 21-29",16,25,64,191,0,2,13,1,70.6
"110",110,"CHI",2022-10-02,16,"Sun",4,4,"@","NYG","L 12-20",9,16,56.3,71,0,1,11,1,41.4
"111",111,"CLE",2022-10-02,19,"Sun",4,4,"@","ATL","L 20-23",7,19,36.8,131,0,1,8,1,39.6
"112",112,"BAL",2022-10-02,36,"Sun",4,4,NA,"BUF","L 20-23",19,36,52.8,201,1,1,12,1,67
"113",113,"MIN",2022-10-02,28,"Sun",4,4,"@","NOR","W 28-25",20,28,71.4,227,1,2,9,0,107.3
"114",114,"IND",2022-10-02,21,"Sun",4,4,NA,"TEN","L 17-24",17,21,81,116,2,3,21,0,121.4
"115",115,"ARI",2022-10-02,36,"Sun",4,4,"@","CAR","W 26-16",22,36,61.1,180,1,2,17,2,60
"116",116,"DAL",2022-10-02,42,"Sun",4,4,NA,"WAS","W 25-10",25,42,59.5,155,1,2,15,2,55.2
"117",117,"TAM",2022-10-02,37,"Sun",4,4,NA,"KAN","L 31-41",23,37,62.2,228,3,3,21,1,95.3
"118",118,"DEN",2022-10-02,34,"Sun",4,4,"@","LVR","L 23-32",21,34,61.8,173,0,2,15,0,74.8
"119",119,"PHI",2022-10-02,23,"Sun",4,4,NA,"JAX","W 29-21",11,23,47.8,148,2,4,26,1,79.6
"120",120,"NYJ",2022-10-02,26,"Sun",4,4,"@","PIT","W 24-20",17,26,65.4,178,0,3,26,4,45.5
"121",121,"DET",2022-10-02,30,"Sun",4,4,NA,"SEA","L 45-48",23,30,76.7,320,2,0,0,0,132.6
"122",122,"LAC",2022-10-02,35,"Sun",4,4,"@","HOU","W 34-24",26,35,74.3,215,2,4,31,2,84.8
"123",123,"LVR",2022-10-02,25,"Sun",4,4,NA,"DEN","W 32-23",17,25,68,214,2,3,23,0,121.1
"124",124,"GNB",2022-10-02,21,"Sun",4,4,NA,"NWE","W 27-24 (OT)",15,21,71.4,104,1,4,32,0,98.1
"125",125,"NOR",2022-10-02,39,"Sun",4,4,NA,"MIN","L 25-28",26,39,66.7,263,1,3,23,1,83.6
"126",126,"TEN",2022-10-02,37,"Sun",4,4,"@","IND","W 24-17",27,37,73,327,2,3,29,1,106.5
"127",127,"LAR",2022-10-03,27,"Mon",4,4,"@","SFO","L 9-24",16,27,59.3,239,1,0,0,0,100.7
"128",128,"SFO",2022-10-03,48,"Mon",4,4,NA,"LAR","W 24-9",32,48,66.7,200,0,7,54,1,66.3
"129",129,"IND",2022-10-06,39,"Thu",5,5,"@","DEN","W 12-9 (OT)",21,39,53.8,250,0,4,24,2,52.3
"130",130,"DEN",2022-10-06,41,"Thu",5,5,NA,"IND","L 9-12 (OT)",26,41,63.4,200,0,6,51,2,54.9
"131",131,"ATL",2022-10-09,52,"Sun",5,5,"@","TAM","L 15-21",35,52,67.3,351,1,0,0,0,92.7
"132",132,"TAM",2022-10-09,25,"Sun",5,5,NA,"ATL","W 21-15",14,25,56,110,1,5,37,0,80.4
"133",133,"BAL",2022-10-09,35,"Sun",5,5,NA,"CIN","W 19-17",24,35,68.6,190,1,3,27,1,79.5
"134",134,"BUF",2022-10-09,52,"Sun",5,5,NA,"PIT","W 38-3",34,52,65.4,310,0,3,17,1,73.4
"135",135,"SEA",2022-10-09,25,"Sun",5,5,"@","NOR","L 32-39",17,25,68,203,2,1,6,1,102.6
"136",136,"MIN",2022-10-09,21,"Sun",5,5,NA,"CHI","W 29-22",15,21,71.4,193,1,2,15,0,115.8
"137",137,"MIA",2022-10-09,21,"Sun",5,5,"@","NYJ","L 17-40",14,21,66.7,187,0,2,23,0,94.7
"138",138,"CAR",2022-10-09,30,"Sun",5,5,NA,"SFO","L 15-37",18,30,60,244,2,2,9,0,108.2
"139",139,"LAC",2022-10-09,34,"Sun",5,5,"@","CLE","W 30-28",21,34,61.8,230,1,0,0,1,79.3
