"","Rk","Team","Date","Att...4","Day","G#","Week","...8","Opp","Result","Att...11","Yds","Y/A","TD"
"204",4,"TEN",2022-09-11,32,"Sun",1,1,NA,"NYG","L 20-21",32,238,7.4,1
"205",5,"NYJ",2022-09-11,21,"Sun",1,1,NA,"BAL","L 9-24",21,63,3,0
"206",6,"MIA",2022-09-11,22,"Sun",1,1,NA,"NWE","W 20-7",22,78,3.5,0
"207",7,"CAR",2022-09-11,39,"Sun",1,1,NA,"CLE","L 24-26",39,217,5.6,1
"208",8,"TAM",2022-09-11,18,"Sun",1,1,"@","DAL","W 19-3",18,71,3.9,0
"209",9,"CHI",2022-09-11,37,"Sun",1,1,NA,"SFO","W 19-10",37,176,4.8,1
"210",10,"CIN",2022-09-11,22,"Sun",1,1,NA,"PIT","L 20-23 (OT)",22,75,3.4,0
"211",11,"KAN",2022-09-11,22,"Sun",1,1,"@","ARI","W 44-21",22,103,4.7,1
"212",12,"NWE",2022-09-11,23,"Sun",1,1,"@","MIA","L 7-20",23,65,2.8,0
"213",13,"CLE",2022-09-11,19,"Sun",1,1,"@","CAR","W 26-24",19,54,2.8,2
"214",14,"PIT",2022-09-11,34,"Sun",1,1,"@","CIN","W 23-20 (OT)",34,133,3.9,0
"215",15,"IND",2022-09-11,28,"Sun",1,1,"@","HOU","T 20-20 (OT)",28,77,2.8,0
"216",16,"ARI",2022-09-11,27,"Sun",1,1,NA,"KAN","L 21-44",27,128,4.7,1
"217",17,"SFO",2022-09-11,37,"Sun",1,1,"@","CHI","L 10-19",37,99,2.7,1
"218",18,"WAS",2022-09-11,18,"Sun",1,1,NA,"JAX","W 28-22",18,123,6.8,1
"219",19,"BAL",2022-09-11,17,"Sun",1,1,"@","NYJ","W 24-9",17,83,4.9,0
"220",20,"DAL",2022-09-11,33,"Sun",1,1,NA,"TAM","L 3-19",33,152,4.6,0
"221",21,"NYG",2022-09-11,26,"Sun",1,1,"@","TEN","W 21-20",26,93,3.6,0
"222",22,"LVR",2022-09-11,31,"Sun",1,1,"@","LAC","L 19-24",31,76,2.5,0
"223",23,"LAC",2022-09-11,13,"Sun",1,1,NA,"LVR","W 24-19",13,64,4.9,0
"224",24,"NOR",2022-09-11,38,"Sun",1,1,"@","ATL","W 27-26",38,201,5.3,2
"225",25,"DET",2022-09-11,39,"Sun",1,1,NA,"PHI","L 35-38",39,216,5.5,4
"226",26,"PHI",2022-09-11,28,"Sun",1,1,"@","DET","W 38-35",28,181,6.5,3
"227",27,"MIN",2022-09-11,18,"Sun",1,1,NA,"GNB","W 23-7",18,111,6.2,1
"228",28,"JAX",2022-09-11,28,"Sun",1,1,"@","WAS","L 22-28",28,85,3,0
"229",29,"HOU",2022-09-11,38,"Sun",1,1,NA,"IND","T 20-20 (OT)",38,177,4.7,1
"230",30,"GNB",2022-09-11,28,"Sun",1,1,"@","MIN","L 7-23",28,126,4.5,0
"231",31,"SEA",2022-09-12,20,"Mon",1,1,NA,"DEN","W 17-16",20,103,5.2,0
"232",32,"DEN",2022-09-12,19,"Mon",1,1,"@","SEA","L 16-17",19,76,4,0
"233",33,"LAC",2022-09-15,18,"Thu",2,2,"@","KAN","L 24-27",18,93,5.2,0
"234",34,"KAN",2022-09-15,24,"Thu",2,2,NA,"LAC","W 27-24",24,75,3.1,0
"235",35,"ATL",2022-09-18,26,"Sun",2,2,"@","LAR","L 27-31",26,65,2.5,1
"236",36,"BAL",2022-09-18,18,"Sun",2,2,NA,"MIA","L 38-42",18,86,4.8,0
"237",37,"SEA",2022-09-18,45,"Sun",2,2,"@","SFO","L 7-27",45,189,4.2,2
"238",38,"CAR",2022-09-18,33,"Sun",2,2,"@","NYG","L 16-19",33,103,3.1,0
"239",39,"TAM",2022-09-18,20,"Sun",2,2,"@","NOR","W 20-10",20,100,5,0
"240",40,"CHI",2022-09-18,38,"Sun",2,2,"@","GNB","L 10-27",38,203,5.3,1
"241",41,"SFO",2022-09-18,14,"Sun",2,2,NA,"SEA","W 27-7",14,36,2.6,0
"242",42,"PIT",2022-09-18,31,"Sun",2,2,NA,"NWE","L 14-17",31,124,4,1
"243",43,"NYJ",2022-09-18,37,"Sun",2,2,"@","CLE","W 31-30",37,184,5,3
"244",44,"LVR",2022-09-18,28,"Sun",2,2,NA,"ARI","L 23-29 (OT)",28,143,5.1,2
"245",45,"CIN",2022-09-18,27,"Sun",2,2,"@","DAL","L 17-20",27,107,4,1
"246",46,"NWE",2022-09-18,22,"Sun",2,2,"@","PIT","W 17-14",22,91,4.1,0
"247",47,"NYG",2022-09-18,23,"Sun",2,2,NA,"CAR","W 19-16",23,146,6.3,0
"248",48,"CLE",2022-09-18,20,"Sun",2,2,NA,"NYJ","L 30-31",20,93,4.7,0
"249",49,"IND",2022-09-18,37,"Sun",2,2,"@","JAX","L 0-24",37,96,2.6,1
"250",50,"ARI",2022-09-18,21,"Sun",2,2,"@","LVR","W 29-23 (OT)",21,80,3.8,0
"251",51,"DAL",2022-09-18,25,"Sun",2,2,NA,"CIN","W 20-17",25,89,3.6,0
"252",52,"DEN",2022-09-18,18,"Sun",2,2,NA,"HOU","W 16-9",18,80,4.4,0
"253",53,"WAS",2022-09-18,24,"Sun",2,2,"@","DET","L 27-36",24,191,8,0
"254",54,"LAR",2022-09-18,27,"Sun",2,2,NA,"ATL","W 31-27",27,90,3.3,0
