"","Rk","Team","Date","Att...4","Day","G#","Week","...8","Opp","Result","Cmp","Att...12","Inc","Cmp%","Yds...15","TD","Int","TD%","Int%","Rate","Sk","Yds...22","Sk%","Y/A","NY/A","AY/A","ANY/A","Y/C"
"383",383,"LAR",2022-12-04,26,"Sun",12,13,NA,"SEA","L 23-27",14,26,12,53.8,148,0,2,0,7.7,43.4,4,30,13.33,5.7,4.93,2.23,1.93,10.6
"384",384,"BAL",2022-12-04,37,"Sun",12,13,NA,"DEN","W 10-9",30,37,7,81.1,182,0,2,0,5.4,66.4,4,16,9.76,4.9,4.44,2.49,2.24,6.1
"385",385,"LAC",2022-12-04,47,"Sun",12,13,"@","LVR","L 20-27",28,47,19,59.6,314,1,0,2.1,0,88.5,5,21,9.62,6.7,6.04,7.11,6.42,11.2
"386",386,"SEA",2022-12-04,39,"Sun",12,13,"@","LAR","W 27-23",28,39,11,71.8,348,3,1,7.7,2.6,116.1,4,19,9.3,8.9,8.09,9.31,8.44,12.4
"387",387,"SFO",2022-12-04,41,"Sun",12,13,NA,"MIA","W 33-17",27,41,14,65.9,230,2,1,4.9,2.4,90.1,4,36,8.89,5.6,5.11,5.49,5,8.5
"388",388,"WAS",2022-12-04,41,"Sun",13,13,"@","NYG","T 20-20 (OT)",27,41,14,65.9,246,2,0,4.9,0,101.2,5,29,10.87,6,5.35,6.98,6.22,9.1
"389",389,"NOR",2022-12-05,29,"Mon",13,13,"@","TAM","L 16-17",21,29,8,72.4,232,1,0,3.4,0,109.8,2,18,6.45,8,7.48,8.69,8.13,11
"390",390,"TAM",2022-12-05,54,"Mon",12,13,NA,"NOR","W 17-16",36,54,18,66.7,274,2,1,3.7,1.9,84,1,7,1.82,5.1,4.98,4.98,4.89,7.6
"391",391,"LVR",2022-12-08,20,"Thu",13,14,"@","LAR","L 16-17",11,20,9,55,137,0,2,0,10,36.9,0,0,0,6.9,6.85,2.35,2.35,12.5
"392",392,"LAR",2022-12-08,35,"Thu",13,14,NA,"LVR","W 17-16",22,35,13,62.9,211,1,0,2.9,0,91.4,4,19,10.26,6,5.41,6.6,5.92,9.6
"393",393,"BUF",2022-12-11,27,"Sun",13,14,NA,"NYJ","W 20-12",16,27,11,59.3,130,1,0,3.7,0,86.5,3,17,10,4.8,4.33,5.56,5,8.1
"394",394,"CAR",2022-12-11,24,"Sun",13,14,"@","SEA","W 30-24",14,24,10,58.3,105,1,0,4.2,0,85.4,2,15,7.69,4.4,4.04,5.21,4.81,7.5
"395",395,"CIN",2022-12-11,33,"Sun",13,14,NA,"CLE","W 23-10",18,33,15,54.5,227,2,1,6.1,3,85.3,2,12,5.71,6.9,6.49,6.73,6.34,12.6
"396",396,"CLE",2022-12-11,43,"Sun",13,14,"@","CIN","L 10-23",26,43,17,60.5,273,1,1,2.3,2.3,77.3,2,3,4.44,6.3,6.07,5.77,5.51,10.5
"397",397,"DAL",2022-12-11,39,"Sun",13,14,NA,"HOU","W 27-23",24,39,15,61.5,277,1,2,2.6,5.1,70.9,1,7,2.5,7.1,6.93,5.31,5.18,11.5
"398",398,"DEN",2022-12-11,44,"Sun",13,14,NA,"KAN","L 28-34",27,44,17,61.4,214,4,2,9.1,4.5,89.5,6,49,12,4.9,4.28,4.64,4.08,7.9
"399",399,"DET",2022-12-11,39,"Sun",13,14,NA,"MIN","W 34-23",27,39,12,69.2,330,3,0,7.7,0,120.7,0,0,0,8.5,8.46,10,10,12.2
"400",400,"HOU",2022-12-11,27,"Sun",13,14,"@","DAL","L 23-27",20,27,7,74.1,213,1,1,3.7,3.7,93.6,0,0,0,7.9,7.89,6.96,6.96,10.7
"401",401,"BUF",2022-12-11,27,"Sun",13,14,NA,"NYJ","W 20-12",16,27,11,59.3,130,1,0,3.7,0,86.5,3,17,10,4.8,4.33,5.56,5,8.1
"402",402,"TAM",2022-12-11,55,"Sun",13,14,"@","SFO","L 7-35",34,55,21,61.8,253,1,2,1.8,3.6,63.7,0,0,0,4.6,4.6,3.33,3.33,7.4
"403",403,"DET",2022-12-11,39,"Sun",13,14,NA,"MIN","W 34-23",27,39,12,69.2,330,3,0,7.7,0,120.7,0,0,0,8.5,8.46,10,10,12.2
"404",404,"CIN",2022-12-11,33,"Sun",13,14,NA,"CLE","W 23-10",18,33,15,54.5,227,2,1,6.1,3,85.3,2,12,5.71,6.9,6.49,6.73,6.34,12.6
"405",405,"BAL",2022-12-11,17,"Sun",13,14,"@","PIT","W 16-14",11,17,6,64.7,94,0,0,0,0,81.5,2,10,10.53,5.5,4.95,5.53,4.95,8.5
"406",406,"SEA",2022-12-11,36,"Sun",13,14,NA,"CAR","L 24-30",21,36,15,58.3,241,3,2,8.3,5.6,85.9,3,23,7.69,6.7,6.18,5.86,5.41,11.5
"407",407,"MIN",2022-12-11,41,"Sun",13,14,"@","DET","L 23-34",31,41,10,75.6,394,2,0,4.9,0,124.5,4,31,8.89,9.6,8.76,10.59,9.64,12.7
"408",408,"LAC",2022-12-11,51,"Sun",13,14,NA,"MIA","W 23-17",39,51,12,76.5,350,1,0,2,0,102.3,4,17,7.27,6.9,6.36,7.25,6.73,9
"409",409,"PIT",2022-12-11,31,"Sun",13,14,NA,"BAL","L 14-16",22,31,9,71,264,1,3,3.2,9.7,69.5,2,12,6.06,8.5,8,4.81,4.52,12
"410",410,"PHI",2022-12-11,31,"Sun",13,14,"@","NYG","W 48-22",21,31,10,67.7,184,2,0,6.5,0,109.2,4,33,11.43,5.9,5.26,7.23,6.4,8.8
"411",411,"NYJ",2022-12-11,47,"Sun",13,14,"@","BUF","L 12-20",28,47,19,59.6,233,0,0,0,0,75.6,4,36,7.84,5,4.57,4.96,4.57,8.3
"412",412,"NYG",2022-12-11,32,"Sun",13,14,NA,"PHI","L 22-48",23,32,9,71.9,181,2,0,6.3,0,110.9,7,35,17.95,5.7,4.64,6.91,5.67,7.9
"413",413,"KAN",2022-12-11,42,"Sun",13,14,"@","DEN","W 34-28",28,42,14,66.7,342,3,3,7.1,7.1,86.6,2,10,4.55,8.1,7.77,6.36,6.07,12.2
